corpus_no,group_no,attempt_no,cost,abs_error,error,num_turn,num_action,duration,start,end,num_add,num_del,num_edit,freq_add,freq_del,num_histload,freq_histload,success
1,20,1,64.0,42.0,1.9090909090909092,12,48,314.86199999999997,0.311,315.173,21,1,22,0.9545454545454546,0.045454545454545414,0,-1.0,False
1,20,2,46.0,24.0,1.0909090909090908,8,31,374.379,329.504,689.552,15,0,15,1.0,0.0,0,0.0,False
1,20,3,46.0,24.0,1.0909090909090908,5,47,239.245,703.6389999999999,928.797,8,0,8,1.0,0.0,14,7.0,False
1,20,4,22.0,0.0,0.0,7,20,227.81600000000003,945.998,1156.613,11,2,13,0.8461538461538461,0.15384615384615385,0,0.0,True
1,21,1,59.0,37.0,1.6818181818181819,10,39,336.523,0.336,336.85900000000004,19,0,19,1.0,0.0,0,-1.0,False
1,21,2,59.0,37.0,1.6818181818181819,1,21,119.76499999999999,351.043,456.624,0,0,0,-1.0,2.0,8,4.0,False
1,21,3,59.0,37.0,1.6818181818181819,9,47,218.562,469.31699999999995,675.186,13,4,17,0.7647058823529411,0.23529411764705888,8,1.6,False
1,21,4,31.0,9.0,0.4090909090909091,11,27,276.59000000000003,689.044,951.7760000000001,16,5,21,0.7619047619047619,0.23809523809523814,0,-1.0,False
1,21,5,27.0,5.0,0.22727272727272727,11,31,226.3900000000001,965.4780000000001,1178.1660000000002,15,5,20,0.75,0.25,0,-1.0,False
1,21,6,22.0,0.0,0.0,4,23,111.00799999999981,1190.665,1289.174,4,3,7,0.5714285714285714,0.4285714285714286,1,0.16666666666666666,True
1,22,1,26.0,4.0,0.18181818181818182,9,40,298.251,0.355,298.606,13,4,17,0.7647058823529411,0.23529411764705888,0,-1.0,False
1,22,2,27.0,5.0,0.22727272727272727,18,58,597.728,311.457,896.334,17,17,34,0.5,0.5,4,1.3333333333333333,False
1,22,3,24.0,2.0,0.09090909090909091,10,26,208.78800000000012,908.957,1105.122,14,5,19,0.7368421052631579,0.26315789473684215,0,0.0,False
1,22,4,25.0,3.0,0.13636363636363635,12,33,210.77999999999997,1122.075,1315.902,16,7,23,0.6956521739130435,0.30434782608695654,2,-1.0,False
1,22,5,23.0,1.0,0.045454545454545456,8,58,232.93399999999997,1326.3239999999998,1548.836,12,3,15,0.8,0.19999999999999996,0,0.0,False
1,22,6,23.0,1.0,0.045454545454545456,11,32,165.6289999999999,1563.266,1714.465,15,6,21,0.7142857142857143,0.2857142857142857,0,0.0,False
1,23,1,37.0,15.0,0.6818181818181818,7,33,160.01399999999998,0.217,160.231,12,0,12,1.0,0.0,0,-1.0,False
1,23,2,35.0,13.0,0.5909090909090909,13,40,208.36700000000002,175.18400000000003,368.598,15,10,25,0.6,0.4,1,0.25,False
1,23,3,28.0,6.0,0.2727272727272727,5,17,90.07600000000002,379.79900000000004,458.67400000000004,9,0,9,1.0,0.0,1,-1.0,False
1,23,4,30.0,8.0,0.36363636363636365,5,21,72.40199999999999,458.902,531.076,9,0,9,1.0,0.0,0,0.0,False
1,23,5,29.0,7.0,0.3181818181818182,6,25,137.93599999999992,571.34,669.012,10,1,11,0.9090909090909091,0.09090909090909094,1,-1.0,False
1,23,6,30.0,8.0,0.36363636363636365,5,55,68.64999999999998,680.3839999999999,737.6619999999999,9,0,9,1.0,0.0,0,0.0,False
1,23,7,29.0,7.0,0.3181818181818182,5,16,77.62,745.797,815.2819999999999,9,0,9,1.0,0.0,0,0.0,False
1,23,8,27.0,5.0,0.22727272727272727,5,69,129.82400000000018,831.0089999999999,945.1060000000001,9,0,9,1.0,0.0,0,0.0,False
1,23,9,26.0,4.0,0.18181818181818182,6,18,154.10099999999977,962.462,1099.2069999999999,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,23,10,25.0,3.0,0.13636363636363635,13,36,389.4470000000001,1135.376,1488.654,17,8,25,0.68,0.31999999999999995,0,-1.0,False
1,23,11,24.0,2.0,0.09090909090909091,9,35,175.70499999999993,1500.5510000000002,1664.359,10,5,15,0.6666666666666666,0.33333333333333337,8,2.6666666666666665,False
1,23,12,23.0,1.0,0.045454545454545456,11,29,329.36800000000017,1675.5020000000002,1993.727,10,10,20,0.5,0.5,1,1.0,False
1,24,1,28.0,6.0,0.2727272727272727,5,30,250.23600000000002,0.191,250.42700000000002,9,0,9,1.0,0.0,0,-1.0,False
1,24,2,39.0,17.0,0.7727272727272727,7,23,182.83299999999997,269.033,433.26,12,0,12,1.0,0.0,0,0.0,False
1,24,3,33.0,11.0,0.5,6,21,93.23000000000002,444.796,526.49,10,0,10,1.0,0.0,0,0.0,False
1,24,4,32.0,10.0,0.45454545454545453,6,17,119.02300000000002,540.049,645.513,10,0,10,1.0,0.0,0,-1.0,False
1,24,5,27.0,5.0,0.22727272727272727,9,29,206.332,681.8430000000001,851.845,13,4,17,0.7647058823529411,0.23529411764705888,0,0.0,False
1,24,6,31.0,9.0,0.4090909090909091,13,37,218.64300000000003,863.056,1070.488,17,7,24,0.7083333333333334,0.29166666666666663,0,0.0,False
1,24,7,28.0,6.0,0.2727272727272727,12,32,226.79700000000003,1078.819,1297.285,16,6,22,0.7272727272727273,0.2727272727272727,0,0.0,False
1,24,8,28.0,6.0,0.2727272727272727,1,27,37.172000000000025,1306.471,1334.457,0,0,0,-1.0,2.0,1,0.1111111111111111,False
1,24,9,24.0,2.0,0.09090909090909091,6,81,251.81299999999987,1344.854,1586.27,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,24,10,29.0,7.0,0.3181818181818182,6,20,90.27500000000009,1596.6770000000001,1676.545,10,0,10,1.0,0.0,0,0.0,False
1,25,1,29.0,7.0,0.3181818181818182,9,41,578.5140000000001,0.31,578.8240000000001,13,4,17,0.7647058823529411,0.23529411764705888,0,-1.0,False
1,25,2,29.0,7.0,0.3181818181818182,6,20,159.80399999999997,581.77,738.628,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,25,3,29.0,7.0,0.3181818181818182,5,15,109.81999999999994,767.4860000000001,848.448,9,0,9,1.0,0.0,0,-1.0,False
1,25,4,23.0,1.0,0.045454545454545456,20,45,955.4590000000002,890.818,1803.9070000000002,23,14,37,0.6216216216216216,0.3783783783783784,0,0.0,False
1,25,5,27.0,5.0,0.22727272727272727,7,21,94.5179999999998,1822.5079999999998,1898.425,10,1,11,0.9090909090909091,0.09090909090909094,0,-1.0,False
1,26,1,27.0,5.0,0.22727272727272727,7,44,355.36,0.255,355.615,10,1,11,0.9090909090909091,0.09090909090909094,0,-1.0,False
1,26,2,27.0,5.0,0.22727272727272727,31,94,842.9000000000001,367.62800000000004,1198.515,31,22,53,0.5849056603773585,0.41509433962264153,14,2.0,False
1,26,3,28.0,6.0,0.2727272727272727,15,66,394.57799999999975,1205.786,1593.0929999999998,16,8,24,0.6666666666666666,0.33333333333333337,1,0.09090909090909091,False
1,26,4,,,,1,1,12.240000000000009,1605.3329999999999,1605.3329999999999,0,0,0,-1.0,2.0,0,0.0,False
1,27,1,27.0,5.0,0.22727272727272727,6,30,387.666,0.187,387.853,10,1,11,0.9090909090909091,0.09090909090909094,0,-1.0,False
1,27,2,36.0,14.0,0.6363636363636364,12,32,317.897,391.099,705.75,16,4,20,0.8,0.19999999999999996,0,0.0,False
1,27,3,29.0,7.0,0.3181818181818182,11,27,330.672,772.821,1036.422,15,5,20,0.75,0.25,0,0.0,False
1,27,4,30.0,8.0,0.36363636363636365,18,39,286.88699999999994,1053.171,1323.309,21,10,31,0.6774193548387096,0.32258064516129037,0,-1.0,False
1,27,5,28.0,6.0,0.2727272727272727,15,45,327.43499999999995,1337.332,1650.744,18,8,26,0.6923076923076923,0.3076923076923077,0,0.0,False
1,27,6,29.0,7.0,0.3181818181818182,11,48,249.41000000000008,1657.861,1900.154,15,5,20,0.75,0.25,0,0.0,False
1,28,1,30.0,8.0,0.36363636363636365,6,31,225.83699999999996,0.29600000000000004,226.13299999999998,9,1,10,0.9,0.09999999999999998,0,-1.0,False
1,28,2,28.0,6.0,0.2727272727272727,8,31,147.17700000000002,226.74,373.31,12,2,14,0.8571428571428571,0.1428571428571429,0,0.0,False
1,28,3,26.0,4.0,0.18181818181818182,9,22,70.68199999999996,379.69300000000004,443.99199999999996,12,3,15,0.8,0.19999999999999996,0,0.0,False
1,28,4,23.0,1.0,0.045454545454545456,12,25,98.298,456.903,542.29,13,4,17,0.7647058823529411,0.23529411764705888,0,0.0,False
1,28,5,22.0,0.0,0.0,13,33,127.79700000000003,554.077,670.087,15,6,21,0.7142857142857143,0.2857142857142857,0,0.0,True
1,29,1,27.0,5.0,0.22727272727272727,8,34,256.66499999999996,0.161,256.82599999999996,11,2,13,0.8461538461538461,0.15384615384615385,0,-1.0,False
1,29,2,26.0,4.0,0.18181818181818182,10,29,236.41300000000007,273.46,493.23900000000003,13,3,16,0.8125,0.1875,0,0.0,False
1,29,3,24.0,2.0,0.09090909090909091,13,34,259.2349999999999,501.82599999999996,752.4739999999999,17,8,25,0.68,0.31999999999999995,0,0.0,False
1,29,4,24.0,2.0,0.09090909090909091,21,41,233.995,761.568,986.4689999999999,18,16,34,0.5294117647058824,0.47058823529411764,0,0.0,False
1,29,5,24.0,2.0,0.09090909090909091,19,41,155.51800000000014,997.404,1141.987,20,11,31,0.6451612903225806,0.3548387096774194,0,0.0,False
1,29,6,22.0,0.0,0.0,11,47,180.50900000000001,1161.6680000000001,1322.496,14,5,19,0.7368421052631579,0.26315789473684215,0,0.0,True
1,30,1,30.0,8.0,0.36363636363636365,9,33,236.732,0.34600000000000003,237.078,12,3,15,0.8,0.19999999999999996,0,-1.0,False
1,30,2,31.0,9.0,0.4090909090909091,6,18,137.342,248.10299999999998,374.42,9,0,9,1.0,0.0,0,0.0,False
1,30,3,25.0,3.0,0.13636363636363635,7,21,155.57099999999997,420.903,529.991,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,30,4,31.0,9.0,0.4090909090909091,6,18,87.33900000000006,568.632,617.33,9,0,9,1.0,0.0,0,0.0,False
1,30,5,23.0,1.0,0.045454545454545456,7,40,139.23199999999997,630.073,756.562,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,30,6,23.0,1.0,0.045454545454545456,8,60,327.9519999999999,772.798,1084.514,10,2,12,0.8333333333333334,0.16666666666666663,0,0.0,False
1,30,7,23.0,1.0,0.045454545454545456,6,67,255.57500000000005,1084.626,1340.089,9,0,9,1.0,0.0,0,0.0,False
1,30,8,25.0,3.0,0.13636363636363635,6,47,178.70800000000008,1340.839,1518.797,9,0,9,1.0,0.0,0,0.0,False
1,30,9,,,,2,3,2.5269999999998163,1518.88,1521.3239999999998,2,0,2,1.0,0.0,0,-1.0,False
1,31,1,23.0,1.0,0.045454545454545456,15,55,653.893,0.18899999999999997,654.082,19,10,29,0.6551724137931034,0.3448275862068966,0,-1.0,False
1,31,2,23.0,1.0,0.045454545454545456,6,22,295.908,660.817,949.99,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,31,3,23.0,1.0,0.045454545454545456,6,40,130.1869999999999,956.3539999999999,1080.177,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,31,4,23.0,1.0,0.045454545454545456,5,84,211.74900000000025,1105.848,1291.9260000000002,9,0,9,1.0,0.0,0,0.0,False
1,32,1,48.0,26.0,1.1818181818181819,9,34,369.58799999999997,0.198,369.786,16,0,16,1.0,0.0,0,-1.0,False
1,32,2,42.0,20.0,0.9090909090909091,7,22,114.238,383.103,484.024,7,4,11,0.6363636363636364,0.36363636363636365,1,0.3333333333333333,False
1,32,3,33.0,11.0,0.5,6,16,70.46699999999998,499.353,554.491,10,0,10,1.0,0.0,0,-1.0,False
1,32,4,28.0,6.0,0.2727272727272727,13,33,227.32000000000005,566.781,781.811,17,7,24,0.7083333333333334,0.29166666666666663,0,0.0,False
1,32,5,30.0,8.0,0.36363636363636365,10,32,204.55399999999997,794.416,986.365,14,4,18,0.7777777777777778,0.2222222222222222,0,0.0,False
1,32,6,25.0,3.0,0.13636363636363635,3,33,53.90599999999995,997.252,1040.271,2,2,4,0.5,0.5,3,0.42857142857142855,False
1,32,7,26.0,4.0,0.18181818181818182,3,13,100.89100000000008,1051.558,1141.162,2,2,4,0.5,0.5,1,1.0,False
1,32,8,25.0,3.0,0.13636363636363635,2,11,41.44100000000003,1151.823,1182.603,1,1,2,0.5,0.5,1,1.0,False
