group_no,attempt_no,turn_no,num_action,duration,num_add,num_del,num_edit,freq_add,freq_del
9,1,4,3,92.26500000000004,2,0,2,1.0,0.0
9,1,5,2,168.0039999999999,2,0,2,1.0,0.0
9,1,6,2,51.16600000000011,2,0,2,1.0,0.0
9,1,7,3,70.51199999999994,1,1,2,0.5,0.5
9,1,8,2,18.756999999999948,1,1,2,0.5,0.5
9,1,9,2,68.54700000000003,1,1,2,0.5,0.5
9,1,10,2,23.882000000000062,2,0,2,1.0,0.0
9,1,11,9,15.303999999999974,0,0,0,-1.0,2.0
9,2,11,16,213.45500000000004,1,1,2,0.5,0.5
9,2,12,2,10.70799999999997,1,1,2,0.5,0.5
9,2,13,6,20.235999999999876,0,0,0,-1.0,2.0
9,3,13,9,190.72000000000003,2,0,2,1.0,0.0
9,3,14,2,26.325000000000045,2,0,2,1.0,0.0
9,3,15,2,22.19100000000003,1,1,2,0.5,0.5
9,3,16,2,28.13799999999992,2,0,2,1.0,0.0
9,3,17,2,27.338000000000193,2,0,2,1.0,0.0
9,3,18,2,5.758999999999787,2,0,2,1.0,0.0
9,3,19,6,7.060000000000173,0,0,0,-1.0,2.0
9,4,19,15,69.03099999999995,2,0,2,1.0,0.0
9,4,20,2,7.230000000000018,2,0,2,1.0,0.0
9,4,21,5,112.02199999999993,2,0,2,1.0,0.0
9,4,22,2,10.411000000000058,2,0,2,1.0,0.0
9,4,23,2,8.952999999999975,2,0,2,1.0,0.0
9,4,24,7,6.005999999999858,1,0,1,1.0,0.0
9,5,24,2,27.55800000000022,1,1,2,0.5,0.5
9,5,25,4,64.12299999999982,0,1,1,0.0,1.0
9,5,26,2,24.702000000000226,1,1,2,0.5,0.5
9,5,27,10,14.398999999999887,0,0,0,-1.0,2.0
9,6,27,12,98.47700000000009,1,1,2,0.5,0.5
9,6,28,6,6.948999999999842,0,0,0,-1.0,2.0
9,7,28,10,51.94900000000007,0,1,1,0.0,1.0
9,8,28,5,37.25299999999993,1,1,2,0.5,0.5
9,8,29,6,5.318000000000211,0,0,0,-1.0,2.0
9,9,29,9,63.95999999999981,1,1,2,0.5,0.5
9,9,30,2,17.932000000000016,1,1,2,0.5,0.5
9,9,31,6,4.629000000000133,0,0,0,-1.0,2.0
9,10,31,5,37.722999999999956,1,1,2,0.5,0.5
9,10,32,9,21.192999999999756,0,0,0,-1.0,2.0
9,11,32,34,103.53999999999996,1,1,2,0.5,0.5
9,11,33,6,4.541000000000167,0,0,0,-1.0,2.0
9,12,33,5,37.4050000000002,2,0,2,1.0,0.0
9,12,34,7,7.050999999999931,0,1,1,0.0,1.0
10,1,1,20,240.198,2,0,2,1.0,0.0
10,1,2,9,93.826,2,0,2,1.0,0.0
10,1,3,3,14.98399999999998,2,0,2,1.0,0.0
10,1,4,2,11.609999999999957,2,0,2,1.0,0.0
10,1,5,2,15.68300000000005,2,0,2,1.0,0.0
10,1,6,3,26.454000000000008,2,0,2,1.0,0.0
10,1,7,9,34.34699999999998,0,0,0,-1.0,2.0
10,2,7,27,53.62800000000004,0,0,0,-1.0,2.0
10,3,7,2,25.666999999999973,2,0,2,1.0,0.0
10,3,8,2,33.418000000000006,2,0,2,1.0,0.0
10,3,9,2,15.802999999999997,2,0,2,1.0,0.0
10,3,10,4,23.76800000000003,2,0,2,1.0,0.0
10,3,11,7,12.504999999999995,1,0,1,1.0,0.0
10,4,11,2,25.466999999999985,2,0,2,1.0,0.0
10,4,12,2,13.059999999999945,2,0,2,1.0,0.0
10,4,13,2,13.764999999999986,2,0,2,1.0,0.0
10,4,14,2,12.050000000000068,2,0,2,1.0,0.0
10,4,15,2,10.829000000000065,2,0,2,1.0,0.0
10,4,16,6,7.515999999999849,0,0,0,-1.0,2.0
10,5,16,2,31.517000000000053,2,0,2,1.0,0.0
10,5,17,2,14.260999999999967,2,0,2,1.0,0.0
10,5,18,2,13.683000000000106,2,0,2,1.0,0.0
10,5,19,2,16.271999999999935,2,0,2,1.0,0.0
10,5,20,10,51.456999999999994,1,0,1,1.0,0.0
10,6,20,2,24.239000000000033,2,0,2,1.0,0.0
10,6,21,2,15.552999999999884,2,0,2,1.0,0.0
10,6,22,2,10.817000000000121,2,0,2,1.0,0.0
10,6,23,2,13.04099999999994,2,0,2,1.0,0.0
10,6,24,7,9.07400000000007,1,0,1,1.0,0.0
10,7,24,2,19.19500000000005,2,0,2,1.0,0.0
10,7,25,2,13.815999999999917,2,0,2,1.0,0.0
10,7,26,2,5.644999999999982,2,0,2,1.0,0.0
10,7,27,2,12.091999999999985,2,0,2,1.0,0.0
10,7,28,7,6.947000000000116,1,0,1,1.0,0.0
10,8,28,2,14.659999999999968,2,0,2,1.0,0.0
10,8,29,2,17.313999999999965,2,0,2,1.0,0.0
10,8,30,2,8.926000000000045,2,0,2,1.0,0.0
10,8,31,2,8.687000000000012,2,0,2,1.0,0.0
10,8,32,7,34.35599999999977,1,0,1,1.0,0.0
10,9,32,2,20.75500000000011,2,0,2,1.0,0.0
10,9,33,2,16.605999999999995,2,0,2,1.0,0.0
10,9,34,2,5.721000000000231,2,0,2,1.0,0.0
10,9,35,2,7.321999999999889,2,0,2,1.0,0.0
10,9,36,7,6.948999999999842,1,0,1,1.0,0.0
10,10,36,2,11.896999999999935,2,0,2,1.0,0.0
10,10,37,2,14.105000000000018,2,0,2,1.0,0.0
10,10,38,2,14.553000000000111,2,0,2,1.0,0.0
10,10,39,2,7.613000000000056,2,0,2,1.0,0.0
10,10,40,10,14.032999999999902,1,0,1,1.0,0.0
10,11,40,2,21.123000000000047,2,0,2,1.0,0.0
10,11,41,2,10.080000000000155,2,0,2,1.0,0.0
10,11,42,2,10.692999999999756,2,0,2,1.0,0.0
10,11,43,2,25.932999999999993,2,0,2,1.0,0.0
10,11,44,7,7.820000000000164,1,0,1,1.0,0.0
10,12,44,2,37.832999999999856,2,0,2,1.0,0.0
10,12,45,2,10.152000000000044,0,2,2,0.0,1.0
10,12,46,2,6.954999999999927,2,0,2,1.0,0.0
10,12,47,2,17.970000000000027,2,0,2,1.0,0.0
10,12,48,2,8.16800000000012,2,0,2,1.0,0.0
10,12,49,59,50.67899999999986,2,0,2,1.0,0.0
10,12,50,6,17.64800000000014,2,0,2,1.0,0.0
10,12,51,6,4.798999999999978,0,0,0,-1.0,2.0
11,1,1,6,90.62400000000001,2,0,2,1.0,0.0
11,1,2,4,14.632999999999981,2,0,2,1.0,0.0
11,1,3,2,31.261000000000024,2,0,2,1.0,0.0
11,1,4,4,27.790999999999997,2,0,2,1.0,0.0
11,1,5,2,6.930000000000007,2,0,2,1.0,0.0
11,1,6,4,12.774000000000001,2,0,2,1.0,0.0
11,1,7,3,18.345,2,0,2,1.0,0.0
11,1,8,2,13.344999999999999,2,0,2,1.0,0.0
11,1,9,2,7.205999999999989,2,0,2,1.0,0.0
11,1,10,2,10.597000000000008,2,0,2,1.0,0.0
11,1,11,9,21.17500000000001,0,0,0,-1.0,2.0
11,2,11,13,33.65599999999995,1,1,2,0.5,0.5
11,2,12,7,33.436000000000035,0,2,2,0.0,1.0
11,2,13,1,1.8360000000000127,0,1,1,0.0,1.0
11,2,14,2,4.854999999999961,0,2,2,0.0,1.0
11,2,15,3,15.413000000000068,0,2,2,0.0,1.0
11,2,16,2,16.640999999999963,2,0,2,1.0,0.0
11,2,17,4,33.924000000000035,0,2,2,0.0,1.0
11,2,18,2,6.905999999999949,2,0,2,1.0,0.0
