Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
10	1	2	mount gallen	417	355	2	A	177, 180, 181, 201, 203, 348, 417, 450, 507, 531	[177, 180, 181, 201, 203, 348, 417, 450, 507, 531]	[1034, 1043, 1047, 1179, 1189, 1932, 2293, 2451, 2766, 2914]	1034	2293
9	1	2	bern to	248	299	1	B	157, 160, 241, 248, 254, 326, 327, 402, 455	[157, 160, 241, 248, 254, 326, 327, 402, 455]	[896, 918, 1387, 1411, 1443, 1818, 1824, 2216, 2481]	896	1411
9	3	2	mount neuchatel	453	346	1	B	164, 232, 295, 403, 417, 453, 456, 507, 509	[164, 232, 295, 403, 417, 453, 456, 507, 509]	[939, 1335, 1653, 2224, 2282, 2466, 2486, 2757, 2777]	939	2466
8	2	2	mount interlaken	455	408	4	A	160, 241, 314, 438, 455, 475, 563, 567	[160, 241, 314, 438, 455, 475, 563, 567]	[920, 1389, 1770, 2393, 2483, 2595, 3106, 3143]	920	2483
7	7	2	interlaken .	303	404	2	A	160, 241, 303, 314, 404, 438, 563	[160, 241, 303, 314, 404, 438, 563]	[921, 1390, 1696, 1771, 2232, 2394, 3107]	921	1696
7	2	2	luzern .	108	465	1	B	107, 108, 153, 327, 329, 330, 571	[107, 108, 153, 327, 329, 330, 571]	[624, 626, 868, 1827, 1848, 1850, 3164]	624	626
6	3	2	neuchatel .	232	240	2	B	164, 229, 232, 284, 286, 403	[164, 229, 232, 284, 286, 403]	[940, 1315, 1336, 1604, 1610, 2225]	940	1336
5	1	2	basel to	593	354	1	A	240, 328, 450, 507, 593	[240, 328, 450, 507, 593]	[1378, 1832, 2446, 2761, 3301]	1378	3301
5	1	2	gallen .	201	352	2	A	180, 190, 201, 348, 531	[180, 190, 201, 348, 531]	[1044, 1107, 1180, 1933, 2915]	1044	1180
5	1	2	neuchatel to	595	301	2	A	295, 417, 450, 507, 595	[295, 417, 450, 507, 595]	[1654, 2283, 2443, 2758, 3324]	1654	3324
5	5	2	zurich .	606	485	4	B	122, 124, 157, 328, 606	[122, 124, 157, 328, 606]	[702, 707, 899, 1835, 3375]	702	3375
3	3	2	basel and	595	360	2	A	236, 417, 595	[236, 417, 595]	[1350, 2286, 3326]	1350	3326
3	3	2	interlaken and	405	302	1	B	293, 405, 594	[293, 405, 594]	[1641, 2234, 3307]	1641	2234
3	3	2	to basel	593	38	1	B	558, 593, 595	[558, 593, 595]	[3066, 3300, 3325]	3066	3300
3	3	2	to interlaken	304	6	2	B	299, 303, 304	[299, 303, 304]	[1665, 1695, 1705]	1665	1705
3	3	2	zermatt ?	376	9	2	A	368, 375, 376	[368, 375, 376]	[2038, 2086, 2088]	2038	2088
2	2	2	, interlaken	594	191	1	B	404, 594	[404, 594]	[2231, 3306]	2231	3306
25	1	1	bern	238	458	3	B	138, 152, 157, 160, 238, 240, 241, 248, 254, 258, 293, 313, 314, 326, 327, 394, 402, 438, 455, 475, 565, 567, 570, 593, 595	[138, 152, 157, 160, 238, 240, 241, 248, 254, 258, 293, 313, 314, 326, 327, 394, 402, 438, 455, 475, 565, 567, 570, 593, 595]	[789, 864, 896, 918, 1360, 1381, 1387, 1411, 1443, 1459, 1644, 1761, 1768, 1818, 1824, 2189, 2216, 2392, 2481, 2600, 3116, 3147, 3160, 3303, 3329]	789	1360
19	1	1	luzern	109	468	2	B	104, 107, 108, 109, 121, 153, 254, 257, 259, 260, 326, 327, 329, 330, 394, 434, 455, 457, 571	[104, 107, 108, 109, 121, 153, 254, 257, 259, 260, 326, 327, 329, 330, 394, 434, 455, 457, 571]	[604, 624, 626, 628, 686, 868, 1446, 1454, 1463, 1469, 1821, 1827, 1848, 1850, 2181, 2381, 2479, 2494, 3164]	604	628
18	3	1	zurich	120	505	2	B	102, 104, 118, 120, 122, 124, 157, 183, 186, 201, 328, 329, 394, 417, 450, 507, 602, 606	[102, 104, 118, 120, 122, 124, 157, 183, 186, 201, 328, 329, 394, 417, 450, 507, 602, 606]	[599, 607, 669, 675, 678, 699, 702, 707, 899, 1066, 1093, 1177, 1835, 1845, 2178, 2290, 2449, 2764, 3355, 3375]	599	675
17	3	1	neuchatel	232	432	3	B	164, 228, 229, 232, 284, 286, 295, 403, 417, 450, 453, 456, 507, 509, 548, 562, 595	[164, 228, 229, 232, 284, 286, 295, 403, 417, 450, 453, 456, 507, 509, 548, 562, 595]	[940, 1314, 1315, 1336, 1604, 1610, 1654, 2225, 2283, 2443, 2467, 2487, 2758, 2778, 3009, 3090, 3324]	940	1336
16	4	1	gallen	181	357	3	A	175, 177, 180, 181, 189, 190, 196, 201, 202, 203, 348, 349, 417, 450, 507, 531	[175, 177, 180, 181, 189, 190, 196, 201, 202, 203, 348, 349, 417, 450, 507, 531]	[1014, 1035, 1044, 1048, 1103, 1107, 1146, 1180, 1182, 1190, 1933, 1935, 2294, 2452, 2767, 2915]	1014	1048
16	1	1	interlaken	300	435	2	A	160, 241, 293, 299, 300, 303, 304, 314, 404, 405, 438, 455, 475, 563, 567, 594	[160, 241, 293, 299, 300, 303, 304, 314, 404, 405, 438, 455, 475, 563, 567, 594]	[921, 1390, 1641, 1666, 1672, 1696, 1706, 1771, 2232, 2234, 2394, 2484, 2596, 3107, 3144, 3307]	921	1672
14	1	1	zermatt	594	494	2	A	101, 106, 210, 219, 271, 368, 375, 376, 387, 433, 451, 455, 457, 594	[101, 106, 210, 219, 271, 368, 375, 376, 387, 433, 451, 455, 457, 594]	[591, 613, 1230, 1279, 1545, 2038, 2086, 2088, 2138, 2375, 2457, 2476, 2491, 3313]	591	3313
