Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
15	3	2	luzern .	188	471	2	B	31, 184, 188, 258, 262, 275, 276, 278, 332, 334, 336, 341, 460, 499, 501	[31, 184, 188, 258, 262, 275, 276, 278, 332, 334, 336, 341, 460, 499, 501]	[145, 1178, 1202, 1571, 1584, 1635, 1640, 1648, 1935, 1951, 1972, 2018, 2649, 2878, 2888]	145	1202
14	5	2	to bern	32	406	1	B	31, 32, 100, 123, 125, 126, 140, 142, 143, 144, 253, 308, 434, 436	[31, 32, 100, 123, 125, 126, 140, 142, 143, 144, 253, 308, 434, 436]	[140, 157, 567, 746, 764, 768, 862, 869, 877, 886, 1537, 1802, 2500, 2506]	140	157
13	1	2	to luzern	282	471	1	B	31, 188, 258, 275, 276, 278, 282, 332, 334, 336, 460, 499, 501	[31, 188, 258, 275, 276, 278, 282, 332, 334, 336, 460, 499, 501]	[144, 1201, 1570, 1634, 1639, 1647, 1664, 1934, 1950, 1971, 2648, 2877, 2887]	144	1664
12	2	2	to zurich	211	444	5	B	80, 145, 167, 169, 210, 211, 258, 259, 301, 307, 453, 523	[80, 145, 167, 169, 210, 211, 258, 259, 301, 307, 453, 523]	[437, 893, 1029, 1051, 1295, 1308, 1563, 1576, 1778, 1799, 2611, 3007]	437	1308
11	1	2	bern .	137	435	1	B	2, 10, 125, 126, 137, 140, 142, 143, 144, 308, 436	[2, 10, 125, 126, 137, 140, 142, 143, 144, 308, 436]	[7, 46, 765, 769, 834, 863, 870, 878, 887, 1803, 2507]	7	834
10	3	2	bern to	12	349	1	A	7, 12, 32, 100, 167, 169, 259, 322, 323, 355	[7, 12, 32, 100, 167, 169, 259, 322, 323, 355]	[23, 56, 158, 568, 1028, 1050, 1575, 1880, 1884, 2099]	23	56
10	1	2	to interlaken	450	436	1	B	15, 32, 123, 127, 252, 355, 357, 415, 417, 450	[15, 32, 123, 127, 252, 355, 357, 415, 417, 450]	[73, 163, 750, 774, 1530, 2100, 2104, 2419, 2425, 2577]	73	2577
8	2	2	interlaken .	18	401	2	B	15, 17, 18, 32, 127, 252, 355, 415	[15, 17, 18, 32, 127, 252, 355, 415]	[74, 79, 81, 164, 775, 1531, 2101, 2420]	74	81
8	8	2	luzern to	182	398	3	B	71, 123, 125, 182, 301, 340, 344, 468	[71, 123, 125, 182, 301, 340, 344, 468]	[402, 745, 763, 1162, 1168, 1777, 2006, 2034, 2685]	402	1162
8	4	2	zurich to	100	404	1	B	57, 100, 210, 212, 213, 258, 449, 460	[57, 100, 210, 212, 213, 258, 449, 460]	[308, 566, 1300, 1312, 1317, 1569, 2571, 2647]	308	566
7	3	2	basel .	13	357	1	B	12, 13, 19, 167, 322, 323, 368	[12, 13, 19, 167, 322, 323, 368]	[58, 60, 86, 1034, 1882, 1886, 2167]	58	60
7	4	2	basel to	32	509	1	B	15, 32, 210, 211, 335, 436, 523	[15, 32, 210, 211, 335, 436, 523]	[72, 160, 1294, 1307, 1964, 2505, 3006]	72	160
7	1	2	gallen .	213	236	5	B	39, 71, 145, 210, 212, 213, 274	[39, 71, 145, 210, 212, 213, 274]	[201, 404, 897, 1303, 1315, 1320, 1627]	201	1320
7	2	2	to basel	57	412	1	B	12, 32, 57, 167, 322, 323, 423	[12, 32, 57, 167, 322, 323, 423]	[57, 159, 309, 1033, 1881, 1885, 2451]	57	309
7	7	2	zurich .	263	243	2	A	211, 259, 263, 298, 301, 307, 453	[211, 259, 263, 298, 301, 307, 453]	[1309, 1577, 1590, 1768, 1779, 1800, 2612]	1309	1590
6	2	2	to davos	468	336	2	B	174, 176, 179, 468, 506, 509	[174, 176, 179, 468, 506, 509]	[1097, 1107, 1120, 2686, 2922, 2927]	1097	2686
6	4	2	to montreux	340	214	2	A	251, 335, 340, 344, 395, 464	[251, 335, 340, 344, 395, 464]	[1525, 1965, 2007, 2035, 2289, 2663]	1525	2007
6	6	2	to neuchatel	32	381	1	B	22, 32, 42, 238, 251, 402	[22, 32, 42, 238, 251, 402]	[100, 161, 217, 1452, 1523, 2338]	100	161
6	4	2	to zermatt	253	305	1	A	182, 253, 380, 395, 485, 486	[182, 253, 380, 395, 485, 486]	[1169, 1534, 2210, 2287, 2820, 2824]	1169	1534
5	3	2	mount bern	5	258	1	B	2, 5, 7, 10, 259	[2, 5, 7, 10, 259]	[6, 16, 22, 45, 1574]	6	16
5	1	2	mount davos	228	203	1	B	80, 182, 188, 228, 282	[80, 182, 188, 228, 282]	[435, 1158, 1199, 1398, 1662]	435	1398
5	2	2	neuchatel to	415	392	2	A	32, 251, 415, 417, 423	[32, 251, 415, 417, 423]	[162, 1524, 2418, 2424, 2450]	162	2418
5	5	2	zermatt .	396	467	3	A	34, 182, 380, 396, 500	[34, 182, 380, 396, 500]	[169, 1170, 2211, 2291, 2880]	169	2291
4	2	2	interlaken to	486	456	3	B	31, 42, 485, 486	[31, 42, 485, 486]	[139, 216, 2819, 2823]	139	2823
4	3	2	mount luzern	183	47	1	A	182, 183, 184, 228	[182, 183, 184, 228]	[1161, 1164, 1167, 1172, 1177, 1400]	1161	1172
4	4	2	neuchatel .	416	375	3	B	42, 238, 402, 416	[42, 238, 402, 416]	[218, 1453, 2339, 2422]	218	2422
3	1	2	montreux .	344	94	2	A	251, 337, 344	[251, 337, 344]	[1526, 1983, 2036]	1526	2036
3	3	2	zermatt to	395	270	1	B	230, 395, 499	[230, 395, 499]	[1409, 2288, 2876]	1409	2288
2	2	2	basel ,	434	110	1	B	325, 434	[325, 434]	[1903, 2491]	1903	2491
2	2	2	bern ?	454	450	1	A	5, 454	[5, 454]	[17, 2615]	17	2615
2	2	2	davos ,	468	290	1	A	179, 468	[179, 468]	[1121, 2683]	1121	2683
2	2	2	montreux ,	465	126	1	B	340, 465	[340, 465]	[2008, 2670]	2008	2670
2	2	2	mount zermatt	328	295	1	A	34, 328	[34, 328]	[168, 1919]	168	1919
2	2	2	zurich ,	258	113	1	A	146, 258	[146, 258]	[899, 1564]	899	1564
31	5	1	luzern	300	471	4	B	31, 71, 123, 125, 182, 183, 184, 188, 228, 258, 262, 275, 276, 278, 282, 300, 301, 332, 334, 335, 336, 340, 341, 342, 344, 460, 463, 464, 468, 499, 501	[31, 71, 123, 125, 182, 183, 184, 188, 228, 258, 262, 275, 276, 278, 282, 300, 301, 332, 334, 335, 336, 340, 341, 342, 344, 460, 463, 464, 468, 499, 501]	[145, 402, 745, 763, 1162, 1165, 1168, 1173, 1178, 1202, 1401, 1571, 1584, 1635, 1640, 1648, 1665, 1774, 1777, 1935, 1951, 1953, 1972, 2006, 2018, 2022, 2034, 2649, 2659, 2666, 2685, 2878, 2888]	145	1774
28	2	1	bern	253	453	1	B	2, 5, 7, 10, 12, 31, 32, 100, 123, 125, 126, 137, 140, 142, 143, 144, 167, 169, 253, 259, 308, 322, 323, 355, 356, 434, 436, 454	[2, 5, 7, 10, 12, 31, 32, 100, 123, 125, 126, 137, 140, 142, 143, 144, 167, 169, 253, 259, 308, 322, 323, 355, 356, 434, 436, 454]	[7, 17, 23, 46, 56, 141, 158, 568, 747, 765, 769, 834, 863, 870, 878, 887, 1028, 1050, 1538, 1542, 1575, 1803, 1880, 1884, 2099, 2103, 2501, 2507, 2615]	7	1538
23	2	1	zurich	39	517	1	A	7, 39, 57, 80, 100, 145, 146, 167, 169, 210, 211, 212, 213, 258, 259, 263, 298, 301, 307, 449, 453, 460, 523	[7, 39, 57, 80, 100, 145, 146, 167, 169, 210, 211, 212, 213, 258, 259, 263, 298, 301, 307, 449, 453, 460, 523]	[26, 197, 308, 438, 566, 894, 899, 1030, 1052, 1296, 1300, 1309, 1312, 1317, 1564, 1569, 1577, 1590, 1768, 1779, 1800, 2571, 2612, 2647, 3008]	26	197
21	3	1	gallen	177	470	6	B	39, 71, 145, 148, 174, 176, 177, 179, 210, 212, 213, 228, 274, 275, 276, 296, 449, 476, 477, 506, 508	[39, 71, 145, 148, 174, 176, 177, 179, 210, 212, 213, 228, 274, 275, 276, 296, 449, 476, 477, 506, 508]	[199, 201, 404, 897, 920, 1096, 1106, 1111, 1119, 1303, 1315, 1320, 1397, 1627, 1633, 1638, 1763, 2574, 2745, 2755, 2921, 2926]	199	1111
20	2	1	basel	137	512	1	B	12, 13, 15, 19, 32, 57, 137, 167, 210, 211, 322, 323, 325, 326, 335, 368, 423, 434, 436, 523	[12, 13, 15, 19, 32, 57, 137, 167, 210, 211, 322, 323, 325, 326, 335, 368, 423, 434, 436, 523]	[58, 60, 72, 86, 160, 310, 832, 1034, 1294, 1307, 1882, 1886, 1903, 1916, 1964, 2167, 2452, 2491, 2505, 3006]	58	832
18	2	1	interlaken	100	472	2	B	15, 17, 18, 31, 32, 42, 100, 123, 127, 252, 355, 357, 380, 415, 417, 450, 485, 486	[15, 17, 18, 31, 32, 42, 100, 123, 127, 252, 355, 357, 380, 415, 417, 450, 485, 486]	[74, 79, 81, 139, 164, 216, 571, 751, 775, 1531, 2101, 2105, 2208, 2420, 2426, 2578, 2819, 2823]	74	571
16	9	1	montreux	251	228	1	B	238, 251, 252, 332, 334, 335, 336, 337, 340, 344, 392, 393, 395, 402, 464, 465	[238, 251, 252, 332, 334, 335, 336, 337, 340, 344, 392, 393, 395, 402, 464, 465]	[1451, 1526, 1529, 1933, 1949, 1966, 1970, 1983, 2008, 2036, 2271, 2272, 2290, 2337, 2664, 2668, 2669, 2670]	1451	1526
14	2	1	zermatt	153	467	1	A	34, 153, 182, 230, 253, 328, 380, 381, 395, 396, 485, 486, 499, 500	[34, 153, 182, 230, 253, 328, 380, 381, 395, 396, 485, 486, 499, 500]	[169, 947, 951, 1170, 1409, 1535, 1920, 2211, 2213, 2288, 2291, 2821, 2825, 2876, 2880]	169	947
13	2	1	davos	476	430	3	B	80, 174, 176, 179, 182, 188, 228, 282, 468, 476, 478, 506, 509	[80, 174, 176, 179, 182, 188, 228, 282, 468, 476, 478, 506, 509]	[436, 1098, 1108, 1121, 1159, 1200, 1399, 1663, 2683, 2687, 2752, 2761, 2923, 2928]	436	2752
