Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
28	12	1	zurich	160	432	1	B	50, 160, 162, 224, 225, 248, 250, 251, 252, 288, 333, 334, 336, 344, 345, 421, 422, 424, 425, 428, 430, 436, 456, 460, 473, 474, 480, 481	[50, 160, 162, 224, 225, 248, 250, 251, 252, 288, 333, 334, 336, 344, 345, 421, 422, 424, 425, 428, 430, 436, 456, 460, 473, 474, 480, 481]	[293, 901, 903, 910, 1231, 1235, 1328, 1331, 1344, 1346, 1349, 1366, 1555, 1780, 1781, 1785, 1832, 1833, 2174, 2179, 2186, 2188, 2204, 2215, 2247, 2323, 2356, 2424, 2428, 2459, 2463]	293	901
19	4	1	luzern	233	300	4	B	161, 224, 226, 232, 233, 241, 250, 264, 346, 349, 421, 423, 426, 428, 429, 430, 436, 456, 460	[161, 224, 226, 232, 233, 241, 250, 264, 346, 349, 421, 423, 426, 428, 429, 430, 436, 456, 460]	[905, 1233, 1237, 1261, 1265, 1301, 1342, 1426, 1835, 1848, 2176, 2182, 2198, 2206, 2210, 2212, 2249, 2321, 2358]	905	1265
17	3	1	neuchatel	122	300	2	A	120, 121, 122, 123, 141, 238, 240, 244, 245, 302, 303, 309, 310, 312, 314, 418, 419	[120, 121, 122, 123, 141, 238, 240, 244, 245, 302, 303, 309, 310, 312, 314, 418, 419]	[707, 715, 717, 719, 799, 1293, 1297, 1311, 1313, 1316, 1601, 1606, 1636, 1641, 1650, 1665, 2149, 2153]	707	717
17	3	1	zermatt	195	288	2	B	182, 184, 195, 217, 232, 233, 257, 258, 260, 399, 400, 401, 403, 411, 435, 467, 469	[182, 184, 195, 217, 232, 233, 257, 258, 260, 399, 400, 401, 403, 411, 435, 467, 469]	[1029, 1037, 1081, 1181, 1263, 1267, 1387, 1391, 1405, 2075, 2079, 2081, 2091, 2123, 2240, 2392, 2399]	1029	1081
14	3	1	davos	164	308	1	A	162, 163, 164, 165, 180, 205, 209, 212, 257, 260, 335, 336, 467, 469	[162, 163, 164, 165, 180, 205, 209, 212, 257, 260, 335, 336, 467, 469]	[913, 917, 919, 925, 1010, 1122, 1135, 1150, 1389, 1407, 1783, 1787, 2394, 2401]	913	919
12	1	1	gallen	205	426	1	B	50, 52, 54, 205, 206, 207, 208, 212, 249, 253, 473, 475	[50, 52, 54, 205, 206, 207, 208, 212, 249, 253, 473, 475]	[297, 317, 327, 1120, 1124, 1128, 1131, 1153, 1334, 1336, 1370, 2426, 2433, 2435]	297	1120
12	3	1	montreux	302	236	1	B	184, 302, 304, 305, 309, 312, 326, 411, 412, 413, 418, 419	[184, 302, 304, 305, 309, 312, 326, 411, 412, 413, 418, 419]	[1034, 1604, 1609, 1611, 1638, 1652, 1738, 2125, 2127, 2130, 2151, 2155]	1034	1604
10	1	1	bern	294	430	4	A	52, 120, 123, 126, 197, 198, 294, 295, 480, 481	[52, 120, 123, 126, 197, 198, 294, 295, 480, 481]	[310, 710, 723, 734, 1088, 1094, 1573, 1576, 2461, 2465]	310	1573
7	2	1	basel	198	267	3	B	48, 143, 197, 198, 288, 295, 314	[48, 143, 197, 198, 288, 295, 314]	[283, 809, 1085, 1091, 1553, 1574, 1663]	283	1091
7	2	1	interlaken	239	187	2	A	217, 238, 239, 399, 400, 401, 403	[217, 238, 239, 399, 400, 401, 403]	[1183, 1291, 1295, 2073, 2077, 2083, 2089]	1183	1295
